survey_type,site,site depth,date,trip,quadrat,depth_at_survey,depth,depth2,bag_or_natural,bag_or_nearest_bag_if_natural,piece,unique_piece,widest_span_cm,widest_span_mm,morph,stable_bin,bound_bin,no_pieces_bound_to_it,number_binds,quadrat_angle,bed_depth1,bed_depth2,bed_depth3,bed_depth4,bed_depth5,bed_depth6,bed_depth7,bed_depth8,number_contact_points,max_gap_size_to_right_cm,contact_length_1,contact_length_2,contact_length_3,contact_length_4,contact_length_5,contact_length_6,contact_length_7,contact_length_8,contact_length_9,binder_1,binder1_length_cm,binder1_distance_cm,binder_2,binder2_length_cm,binder2_distance_cm,binder_3,binder3_length_cm,binder3_distance_cm,binder_4,binder4_length_cm,binder4_distance_cm,binder_5,binder5_length_cm,binder5_distance_cm,binder_6,binder6_length_cm,binder6_distance_cm,binder_7,binder7_length_cm,binder7_distance_cm,strength_if_tested
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,4,657,23,230,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,6,1.8,15,3,29,74,14,16,NA,NA,NA,Peyssonnelia,1,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,5,658,19.7,197,branched,0,0,0,0,gentle,250,190,270,305,270,290,170,380,5,3.2,7,10,27,42,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,6,659,17.9,179,branched,0,0,0,0,gentle,250,190,270,305,270,290,170,380,4,2.2,22,23,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,7,660,27.9,279,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,7,2,3,12,15,49,6,13,10,NA,NA,Cyanobacteria,1.2,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,8,661,24.5,245,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peyssonnelia,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,9,662,14.7,147,branched,1,0,0,0,gentle,250,190,270,305,270,290,170,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,10,663,13.6,136,branched,0,0,0,0,gentle,250,190,270,305,270,290,170,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,11,664,29.5,295,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ascidian,2.5,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,12,665,25,250,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyanobacteria,1.1,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,1,861,18.4,184,branched,0,0,0,0,gentle,99,56,132,95,119,52,90,46,4,NA,26,12,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,2,862,18.5,185,unbranched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,2,NA,11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,3,863,14,140,branched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,3,NA,14,19,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,39,6.8,shallow,shallow,natural,B1,4,864,28.5,285,branched,1,0,0,0,gentle,99,56,132,95,119,52,90,46,3,NA,26,14,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
